term_id,term,normalized,category,language,status
EN03047,Abnormality of Corneal Epithelium,abnormality of corneal epithelium,symptom,english,active
EN03048,Abnormality of Corneal Shape,abnormality of corneal shape,symptom,english,active
EN03049,Abnormality of Corneal Size,abnormality of corneal size,symptom,english,active
EN03050,Abnormality of Corneal Stroma,abnormality of corneal stroma,symptom,english,active
EN03051,Abnormality of Corneal Thickness,abnormality of corneal thickness,symptom,english,active
EN03052,Abnormality of Corpus Cavernosum,abnormality of corpus cavernosum,symptom,english,active
EN03053,Abnormality of Cortical Bone,abnormality of cortical bone,symptom,english,active
EN03054,Abnormality of Cranial Base,abnormality of cranial base,symptom,english,active
EN03055,Abnormality of Cranial Ganglion,abnormality of cranial ganglion,symptom,english,active
EN03056,Abnormality of Cranial Nerve,abnormality of cranial nerve,symptom,english,active
EN03057,Abnormality of Cranial Nerve 12,abnormality of cranial nerve 12,symptom,english,active
EN03058,Abnormality of Cranial Nerve XI,abnormality of cranial nerve xi,symptom,english,active
EN03059,Abnormality of Cranial Nerve Xii,abnormality of cranial nerve xii,symptom,english,active
EN03060,Abnormality of Cranial Sutures,abnormality of cranial sutures,symptom,english,active
EN03061,Abnormality of Cranial Vault,abnormality of cranial vault,symptom,english,active
EN03062,Abnormality of Cranium Size,abnormality of cranium size,symptom,english,active
EN03063,Abnormality of Creatine Metabolism,abnormality of creatine metabolism,symptom,english,active
EN03064,Abnormality of Cricoid Cartilage,abnormality of cricoid cartilage,symptom,english,active
EN03065,Abnormality of Cytokine Secretion,abnormality of cytokine secretion,symptom,english,active
EN03066,Abnormality of Deciduous Molar Morphology,abnormality of deciduous molar morphology,symptom,english,active
EN03067,Abnormality of Deciduous Teeth,abnormality of deciduous teeth,symptom,english,active
EN03068,Abnormality of Dental Color,abnormality of dental color,symptom,english,active
EN03069,Abnormality of Dental Colour,abnormality of dental colour,symptom,english,active
EN03070,Abnormality of Dental Enamel,abnormality of dental enamel,symptom,english,active
EN03071,Abnormality of Dental Eruption,abnormality of dental eruption,symptom,english,active
EN03072,Abnormality of Dental Morphology,abnormality of dental morphology,symptom,english,active
EN03073,Abnormality of Dental Shade,abnormality of dental shade,symptom,english,active
EN03074,Abnormality of Dental Shape,abnormality of dental shape,symptom,english,active
EN03075,Abnormality of Dental Structure,abnormality of dental structure,symptom,english,active
EN03076,Abnormality of Dentin,abnormality of dentin,symptom,english,active
EN03077,Abnormality of Dentine,abnormality of dentine,symptom,english,active
EN03078,Abnormality of Dentoalveolar Ridges,abnormality of dentoalveolar ridges,symptom,english,active
EN03079,Abnormality of Depressor Anguli Oris Muscle,abnormality of depressor anguli oris muscle,symptom,english,active
EN03080,Abnormality of Depressor Labii Inferioris,abnormality of depressor labii inferioris,symptom,english,active
EN03081,Abnormality of Depressor Labii Inferioris Muscle,abnormality of depressor labii inferioris muscle,symptom,english,active
EN03082,Abnormality of Dermal Melanosomes,abnormality of dermal melanosomes,symptom,english,active
EN03083,Abnormality of Descemet's Membrane,abnormality of descemet's membrane,symptom,english,active
EN03084,Abnormality of Digestive System Morphology,abnormality of digestive system morphology,symptom,english,active
EN03085,Abnormality of Digestive System Physiology,abnormality of digestive system physiology,symptom,english,active
EN03086,Abnormality of Digit,abnormality of digit,symptom,english,active
EN03087,Abnormality of Divalent Inorganic Cation Homeostasis,abnormality of divalent inorganic cation homeostasis,symptom,english,active
EN03088,Abnormality of DNA Repair,abnormality of dna repair,symptom,english,active
EN03089,Abnormality of Dorsal Nasal Artery,abnormality of dorsal nasal artery,symptom,english,active
EN03090,Abnormality of Dorsoventral Patterning of the Limbs,abnormality of dorsoventral patterning of the limbs,symptom,english,active
EN03091,Abnormality of Ductus Venosus Blood Flow,abnormality of ductus venosus blood flow,symptom,english,active
EN03092,Abnormality of Ear Lobe,abnormality of ear lobe,symptom,english,active
EN03093,Abnormality of Earlobe,abnormality of earlobe,symptom,english,active
EN03094,Abnormality of End Part of Little Finger Bone,abnormality of end part of little finger bone,symptom,english,active
EN03095,Abnormality of End Part of Long Bone of Foot,abnormality of end part of long bone of foot,symptom,english,active
EN03096,Abnormality of End Part of Long Bone of Hand,abnormality of end part of long bone of hand,symptom,english,active
EN03097,Abnormality of End Part of Pinkie Finger Bone,abnormality of end part of pinkie finger bone,symptom,english,active
EN03098,Abnormality of End Part of Pinky Finger Bone,abnormality of end part of pinky finger bone,symptom,english,active
EN03099,Abnormality of End Part of Shinbone,abnormality of end part of shinbone,symptom,english,active
EN03100,Abnormality of End Part of the Elbow Bone,abnormality of end part of the elbow bone,symptom,english,active
EN03101,Abnormality of End Part of the Innermost Bone of Little Finger,abnormality of end part of the innermost bone of little finger,symptom,english,active
EN03102,Abnormality of End Part of the Innermost Bone of Pinkie Finger,abnormality of end part of the innermost bone of pinkie finger,symptom,english,active
EN03103,Abnormality of End Part of the Innermost Bone of Pinky Finger,abnormality of end part of the innermost bone of pinky finger,symptom,english,active
EN03104,Abnormality of End Part of the Long Bone of the Upper Arm,abnormality of end part of the long bone of the upper arm,symptom,english,active
EN03105,Abnormality of End Part of the Middle Bone of the Index Finger,abnormality of end part of the middle bone of the index finger,symptom,english,active
EN03106,Abnormality of End Part of the Middle Bone of the Middle Finger,abnormality of end part of the middle bone of the middle finger,symptom,english,active
EN03107,Abnormality of End Part of the Outermost Bone of the Little Finger,abnormality of end part of the outermost bone of the little finger,symptom,english,active
EN03108,Abnormality of End Part of the Outermost Bone of the Pinkie Finger,abnormality of end part of the outermost bone of the pinkie finger,symptom,english,active
EN03109,Abnormality of End Part of the Outermost Bone of the Pinky Finger,abnormality of end part of the outermost bone of the pinky finger,symptom,english,active
EN03110,Abnormality of End Part of Thumb Innermost Long Bone,abnormality of end part of thumb innermost long bone,symptom,english,active
EN03111,Abnormality of End Part of Thumb Long Bone,abnormality of end part of thumb long bone,symptom,english,active
